,Race,RXSA,TCA,TSA,TSA.RXSA,TSA.TCA,AA,X.A,CCA,X.CCA,MA,MD,NMV,MVA,CCFN,CCN
CONICO,CONICO,1.213035353,0.901244316,0.314940129,0.257252006,0.35125272,0.050066639,8.781798033,0.419043716,91.21820197,0.003906518,0.064963318,9.920716519,0.043989574,8.232056952,848.6835089
GORDO,GORDO,2.320376716,1.645861002,0.680699575,0.288384513,0.408432037,0.090842958,10.99070556,0.740745329,89.00929444,0.009631517,0.108118084,11.73968087,0.120626108,9.083471246,983.5950224
JALA,JALA,2.513236543,1.787513061,0.717106515,0.281388043,0.398579035,0.114641853,11.30444083,1.050678966,88.69555917,0.009340276,0.10623691,11.4134055,0.11440174,9.312723477,1099.764349
NALTEL,NALTEL,2.770911863,1.949658969,0.819374189,0.297185995,0.427211543,0.168874907,13.13259355,1.098772159,86.86740645,0.00970627,0.107841146,13.40379719,0.140323797,10.51772142,1130.606249
PALOME,PALOME,1.771044736,1.264765246,0.500031094,0.276363042,0.386742438,0.03880328,6.664466579,0.592554888,93.33553342,0.005977249,0.084400227,11.62670478,0.075250464,8.467154051,955.0639812
REVENT,REVENT,2.148874188,1.49751585,0.651351003,0.301198303,0.433733137,0.049173904,6.993608347,0.711296345,93.00639165,0.007561766,0.058482438,13.18281721,0.106990701,9.088385949,1037.234409
TABLON,TABLON,2.09779331,1.494471629,0.599652473,0.28176563,0.398049938,0.087382145,12.5036789,0.682790188,87.4963211,0.008301716,0.102245425,11.33038684,0.101371898,9.174692628,1014.308068
ZAPCHI,ZAPCHI,2.399071316,1.673429868,0.716982039,0.298927227,0.429363751,0.083182551,10.18426848,0.810687617,89.81573152,0.00943991,0.107655513,12.333088,0.127848577,10.28374748,1178.136692
