Accession,type,r_stele,radius,CF,OneC,nX,X_size,aerenchyma,TCA,kr1,kr2,kr3,Kr1,Kr2,Kr3,Kx,Kr1_pred,kr1_pred,Kr2_pred,kr2_pred,Kr3_pred,kr3_pred,Kx_pred
PI_571427,,0.251048516,0.54056311,11.3,0.02562076,8.284601033,0.083162113,0.0034,0.72,0.000136165,5.35E-05,4.81E-05,0.000462477,0.000181581,0.000163446,4.095488091,,,,,,,
PI_571437,,0.226379972,0.485334231,8.9,0.029095984,7.470539073,0.072687534,0.1722,0.579,0.0001285,5.19E-05,4.68E-05,0.000391855,0.000158283,0.000142861,1.587394685,,,,,,,
PI_571439,,0.284901774,0.616749799,11.6,0.028607588,9.401758551,0.089387444,0.0971,0.941,0.000116959,4.89E-05,4.44E-05,0.000453232,0.000189409,0.000172176,6.002558836,,,,,,,
PI_571447,,0.231248915,0.454514154,8.2,0.027227468,7.631214209,0.068349801,0.066,0.481,0.000155597,5.97E-05,5.31E-05,0.000444352,0.000170416,0.000151512,1.478022213,,,,,,,
PI_571465,,0.259772392,0.579497135,10.9,0.029332545,8.57248895,0.073122805,0.0603,0.844,0.000117995,4.85E-05,4.41E-05,0.00042963,0.000176554,0.000160748,2.106521993,,,,,,,
PI_571479,,0.248499734,0.524423247,10.7,0.025787244,8.20049123,0.079786066,0.0278,0.67,0.0001326,5.22E-05,4.71E-05,0.000436925,0.000171929,0.000155102,3.373513055,,,,,,,
PI_571522,,0.275818895,0.521684725,10.2,0.024104493,9.102023533,0.084463908,0.0391,0.616,0.000156172,6.00E-05,5.32E-05,0.000511907,0.000196547,0.000174425,5.174991472,,,,,,,
PI_571523,,0.280397115,0.562777342,10.4,0.027151945,9.253104782,0.088562272,0.059,0.748,0.000142098,5.67E-05,5.07E-05,0.000502463,0.000200463,0.000179391,5.939738666,,,,,,,
PI_571543,,0.374241032,0.728219933,13.7,0.025837876,12.34995405,0.089097958,0.0122,1.226,0.000129116,5.38E-05,4.85E-05,0.000590774,0.000246289,0.000221731,8.38045979,,,,,,,
PI_571550,,0.292073706,0.576191992,12.7,0.022371519,9.638432284,0.086773934,0.004,0.775,0.000142789,5.57E-05,4.98E-05,0.000516942,0.000201602,0.00018039,6.89359912,,,,,,,
PI_571573,,0.155536335,0.351884279,9,0.021816438,5.132699039,0.054559802,0.0077,0.313,0.00014746,5.36E-05,4.81E-05,0.000326026,0.000118598,0.000106316,0.370095142,,,,,,,
PI_571581,,0.278117425,0.553941089,10.8,0.025539228,9.17787504,0.078128651,0.0326,0.72,0.000139898,5.54E-05,4.97E-05,0.000486918,0.000192847,0.000172904,3.40226015,,,,,,,
PI_571582,,0.254198558,0.515547044,11,0.023758953,8.388552414,0.080787799,0.0037,0.632,0.000145574,5.61E-05,5.02E-05,0.000471554,0.000181764,0.000162617,3.73209969,,,,,,,
PI_571584,,0.276970545,0.530158117,10.6,0.02388562,9.140027971,0.088323305,0.0013,0.642,0.000149829,5.80E-05,5.17E-05,0.000499093,0.000193246,0.000172313,6.546112012,,,,,,,
PI_571629,,0.334731355,0.639304226,11.4,0.026716919,11.04613471,0.085889461,0.0144,0.931,0.000145235,5.85E-05,5.22E-05,0.000583391,0.000234989,0.000209843,6.39059439,,,,,,,
PI_571676,,0.314127466,0.584419804,10.2,0.026499249,10.36620637,0.075166452,0.0431,0.763,0.000151076,5.98E-05,5.32E-05,0.000554755,0.00021959,0.000195354,3.043840983,,,,,,,
PI_571749,,0.296937432,0.571476984,11.6,0.023667203,9.798935253,0.08681197,0.0017,0.75,0.000145406,5.70E-05,5.09E-05,0.000522108,0.000204522,0.000182702,6.830842956,,,,,,,
PI_571770,,0.252943249,0.504941797,9,0.027999839,8.347127211,0.074103342,0.0448,0.6,0.000144626,5.68E-05,5.09E-05,0.000458847,0.000180322,0.000161426,1.982421423,,,,,,,
PI_571819,,0.317654268,0.585236224,10.2,0.026233525,10.48259084,0.095444603,0.0831,0.759,0.000151977,6.06E-05,5.38E-05,0.000558841,0.000222717,0.000197804,9.791200546,,,,,,,
PI_571822,,0.247858444,0.48729783,8.7,0.027521769,8.179328637,0.071672607,0.0788,0.553,0.000144205,5.67E-05,5.07E-05,0.000441525,0.000173591,0.000155346,1.699699856,,,,,,,
PI_571853,,0.286572767,0.555662298,9,0.029898837,9.456901302,0.082047553,0.0904,0.712,0.000141002,5.70E-05,5.11E-05,0.000492285,0.000199033,0.000178317,3.781244127,,,,,,,
PI_571891,,0.226379972,0.436290399,8.8,0.023853458,7.470539073,0.072687534,0.0024,0.437,0.000159993,5.97E-05,5.30E-05,0.000438588,0.000163756,0.000145407,1.931682974,,,,,,,
PI_571913,,0.312094257,0.631287555,10.5,0.030399362,10.29911048,0.092359111,0.1083,0.946,0.000131875,5.50E-05,4.95E-05,0.000523082,0.000218211,0.000196375,7.217488563,,,,,,,
PI_571954,,0.240691502,0.495395723,10,0.025470422,7.942819576,0.078047592,0.0067,0.589,0.000143855,5.55E-05,4.98E-05,0.000447771,0.000172775,0.000154911,3.061359089,,,,,,,
PI_571975,,0.294245287,0.578672619,11.3,0.02517056,9.710094478,0.074210948,0.0586,0.78,0.000144115,5.72E-05,5.11E-05,0.000523987,0.000207829,0.000185625,2.985232015,,,,,,,
PI_571986,,0.318654756,0.598679323,9.3,0.030110168,10.51560696,0.084520857,0.1459,0.807,0.000141767,5.84E-05,5.21E-05,0.000533272,0.000219676,0.000196146,5.349498504,,,,,,,
